#The following lines beginning with # are comments. Readable columns names and datatypes are provided as informational comment lines in addition to the database column names.
#If you want to re-upload this table import it as a MAST Result with these header lines unmodified.
#Observation Type, Mission, Provenance Name, Instrument, Project, Filters, Waveband, Target Name, Target Classification, Observation ID, RA, Dec, Calibration Level, Start Time, Exposure Length, Release Date, Proposal Type
#@string, string, string, string, string, string, string, string, string, string, ra, dec, int, float, float, float, string
intentType,obs_collection,provenance_name,instrument_name,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,calib_level,t_min,t_exptime,t_obs_release,proposal_type
science,TESS,SPOC,Photometer,TESS,TESS,Optical,404852431,,tess2021065132309-s0036-0000000404852431-0207-a_fast,85.2294129129933,-69.1757389948224,3,59280.4019266782,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,403800675,,tess2021065132309-s0036-0000000403800675-0207-a_fast,179.366215530853,-28.0647589495174,3,59280.406862419,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,403800123,,tess2021065132309-s0036-0000000403800123-0207-a_fast,179.388464271105,-26.5303307343883,3,59280.4069439352,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,403764130,,tess2021065132309-s0036-0000000403764130-0207-a_fast,179.389802605021,-24.6578249940871,3,59280.4070391898,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,401307217,,tess2021065132309-s0036-0000000401307217-0207-a_fast,135.262446609024,-50.5125203863649,3,59280.4048265972,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,401242170,,tess2021065132309-s0036-0000000401242170-0207-a_fast,135.07543739386,-52.4485291543214,3,59280.4046807639,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,400595342,,tess2021065132309-s0036-0000000400595342-0207-a_fast,134.441783275348,-49.000595557562,3,59280.4049043171,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,398290128,,tess2021065132309-s0036-0000000398290128-0207-a_fast,181.730661640269,-23.1034459369308,3,59280.4070659838,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,398243520,,tess2021065132309-s0036-0000000398243520-0207-a_fast,181.361141559716,-23.5533722740437,3,59280.4070529977,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,398242534,,tess2021065132309-s0036-0000000398242534-0207-a_fast,181.167015800559,-21.3489971812758,3,59280.4071583681,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,396874449,,tess2021065132309-s0036-0000000396874449-0207-a_fast,168.451743087402,-8.00573822395048,3,59280.4077660648,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,393491149,,tess2021065132309-s0036-0000000393491149-0207-a_fast,67.5995903671062,-59.4680789474172,3,59280.4011863194,20,59327,
science,TESS,SPOC,Photometer,TESS,TESS,Optical,393471167,,tess2021065132309-s0036-0000000393471167-0207-a_fast,164.735098072758,-29.2446560847763,3,59280.4069134028,20,59327,
