ticids,tmags,teff,rad,sec,default,defaultcrs,hard,hardest
24452802,10.912,3164,0.453,32,3584.018,3563.796,3563.796,3552.529
24452802,10.912,3164,0.453,33,2472.505,2465.913,2465.913,2465.913
24518895,11.895,3425,0.560,32,11273.357,11271.340,11271.340,11249.585
24523185,8.059,4205,27.675,32,387.808,370.860,370.860,367.462
24523185,8.059,4205,27.675,33,409.250,389.894,389.894,387.664
24528012,8.142,7950,3.415,32,2777.316,2772.630,2772.630,2772.471
24606215,8.104,3754,77.136,32,476.895,438.312,438.312,433.205
24705240,8.008,5030,3.565,28,381.585,362.954,362.954,360.058
24705587,13.365,0,0.000,29,6527.910,6627.062,6627.062,6627.062
24706089,8.002,4797,10.555,27,519.827,502.954,502.954,502.014
24706089,8.002,4797,10.555,28,496.751,482.242,482.242,481.333
24706089,8.002,4797,10.555,29,488.348,464.642,464.642,463.360
24706112,16.336,0,0.000,29,108713.552,110459.261,110459.261,110459.261
24720349,9.973,0,0.000,32,4731.797,4710.385,4710.385,4705.394
24722822,8.069,7596,2.141,32,1043.540,1036.071,1036.071,1034.325
24773594,10.100,8181,1.551,32,1607.315,1583.377,1583.377,1582.149
24776909,9.908,8153,1.588,32,2009.397,1996.493,1996.493,1995.531
24909374,8.157,5163,6.892,30,529.211,427.829,427.829,409.610
24910593,8.191,4233,32.227,30,617.459,529.133,529.133,516.815
24921351,8.416,7102,1.627,30,1353.839,1277.859,1277.859,1267.491
24923308,11.269,3028,0.178,30,3524.078,3374.694,3374.694,3337.584
24978373,5.685,5303,2.010,30,160.837,142.832,142.832,140.458
24978613,8.866,6089,2.212,30,755.785,614.300,614.300,585.154
25051118,8.051,4049,64.591,33,478.032,428.013,428.013,422.053
25078597,11.750,4039,60.269,29,2478.253,2462.643,2462.643,2461.543
25078597,11.750,4039,60.269,30,2440.165,2438.883,2438.883,2438.883
25078597,11.750,4039,60.269,31,2441.490,2417.933,2417.933,2417.933
25078597,11.750,4039,60.269,32,2615.474,2596.313,2596.313,2594.191
25078597,11.750,4039,60.269,33,2531.375,2555.262,2555.262,2546.791
25078597,11.750,4039,60.269,34,2515.803,2532.559,2532.559,2531.065
25078597,11.750,4039,60.269,35,2687.502,2664.012,2664.012,2657.196
25078597,11.750,4039,60.269,36,3889.529,3854.308,3854.308,3854.308
